,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
71,Barrow,96,AR,1563128311,51,-38.31,-60.23,56.31,8.81
72,Makakilo City,40,US,1563128312,69,21.35,-158.09,82.0,11.41
73,Nishihara,90,JP,1563128312,100,35.74,139.53,71.01,4.7
74,Kamenka,95,MD,1563128312,90,48.03,28.7,60.01,8.93
75,Kondinskoye,0,RU,1563128312,65,59.65,67.41,72.51,11.3
76,Yar-Sale,51,RU,1563128066,80,66.83,70.83,66.93,5.61
77,Winnemucca,1,US,1563128313,14,40.97,-117.74,87.8,5.82
78,Dikson,90,RU,1563128313,71,73.51,80.55,42.09,6.8
79,Sola,20,TZ,1563128313,36,-3.17,33.8,77.73,10.76
80,Hilo,90,US,1563128313,88,19.71,-155.08,75.0,4.7
81,Chuy,72,UY,1563128313,71,-33.69,-53.46,51.99,9.01
82,Savannah Bight,100,HN,1563128314,77,16.45,-85.85,82.77,15.19
83,Ilulissat,20,GL,1563128314,47,69.22,-51.1,55.4,5.82
84,Bahir Dar,37,ET,1563128314,90,11.59,37.39,60.99,2.04
85,Port Alfred,8,ZA,1563128314,90,-33.59,26.89,63.0,5.01
86,Pevek,91,RU,1563128314,94,69.7,170.27,34.35,11.97
87,Saint Anthony,1,US,1563128314,37,43.97,-111.68,82.4,11.41
88,Salalah,90,OM,1563128315,94,17.01,54.1,78.8,8.05
89,Butaritari,4,KI,1563128315,69,3.07,172.79,83.31,4.03
90,Freudenstadt,70,DE,1563128315,82,48.46,8.41,66.99,9.17
91,Tiksi,35,RU,1563128315,72,71.64,128.87,40.47,1.9
92,Mitsamiouli,20,KM,1563128315,73,-11.38,43.28,77.0,12.75
93,Ribeira Grande,40,PT,1563128316,53,38.52,-28.7,77.0,17.22
94,Thompson,75,CA,1563128316,63,55.74,-97.86,64.4,3.36
95,Qasigiannguit,20,GL,1563128316,47,68.82,-51.19,55.4,5.82
96,Santa Maria,0,BR,1563128316,24,-16.02,-48.01,82.4,5.82
97,Hovd,75,NO,1563128316,66,63.83,10.7,55.4,13.87
98,East London,0,ZA,1563128317,88,-33.02,27.91,62.6,12.75
99,Nouadhibou,12,MR,1563128317,73,20.93,-17.03,73.4,23.04
100,Ituiutaba,0,BR,1563128317,27,-18.97,-49.46,85.65,5.06
101,Ponta do Sol,23,BR,1563128317,35,-20.63,-46.0,78.27,4.94
102,Durham,20,GB,1563128302,82,54.78,-1.58,66.2,9.17
103,Albany,75,US,1563128112,73,42.65,-73.75,86.0,14.99
104,Jacareacanga,53,BR,1563128318,36,-6.22,-57.76,93.39,4.23
105,Lompoc,75,US,1563128318,82,34.64,-120.46,82.99,6.93
106,Tongzi,100,CN,1563128318,81,28.78,105.09,75.93,1.52
107,Waddan,0,LY,1563128318,14,29.16,16.14,97.71,7.43
108,Portage,75,US,1563128318,62,41.58,-87.18,91.0,4.45
109,Juba,98,EE,1563128319,72,57.82,26.93,60.8,3.36
110,Gat,20,SN,1563128319,50,14.69,-16.54,95.0,9.17
111,Nurota,0,UZ,1563128319,16,40.56,65.69,93.2,4.7
112,Tuktoyaktuk,75,CA,1563128320,59,69.44,-133.03,62.6,6.93
113,Yaan,54,NG,1563128320,91,7.38,8.57,77.55,3.51
114,Ouallam,52,NE,1563128320,26,14.32,2.08,98.79,1.45
115,Port-Cartier,90,CA,1563128320,93,50.03,-66.88,57.99,12.75
116,Lebu,75,ET,1563128321,87,8.96,38.73,59.0,4.7
117,Durusu,0,TR,1563128321,17,37.53,40.83,86.0,9.17
118,Olavarria,95,AR,1563128322,63,-36.89,-60.32,55.0,7.45
119,Srednekolymsk,41,RU,1563128322,61,67.46,153.71,49.47,18.59
120,Comodoro Rivadavia,75,AR,1563128026,62,-45.87,-67.48,51.8,14.99
121,Pato Branco,74,BR,1563128323,87,-26.23,-52.67,64.23,3.27
122,Huarmey,88,PE,1563128323,84,-10.07,-78.15,62.61,15.23
123,Haileybury,90,CA,1563128323,63,47.44,-79.64,64.4,4.7
124,Bambous Virieux,20,MU,1563128323,72,-20.34,57.76,66.2,6.93
125,Kapaa,75,US,1563128323,88,22.08,-159.32,79.0,13.87
126,Kununurra,0,AU,1563128040,33,-15.77,128.74,64.4,6.93
127,Vryburg,0,ZA,1563128324,45,-26.96,24.73,51.81,4.85
128,Taltal,100,CL,1563128324,60,-25.41,-70.49,60.45,6.06
129,Thunder Bay,75,CA,1563128288,50,48.41,-89.26,84.99,11.41
130,Juegang,0,CN,1563128324,94,32.31,121.18,75.0,6.51
131,Conde,35,BR,1563128136,62,-11.81,-37.61,79.53,8.19
132,Vila Velha,20,BR,1563128043,55,-3.71,-38.6,86.0,14.99
133,Gornopravdinsk,0,RU,1563128325,71,60.06,69.92,73.23,6.31
134,Lubyany,0,RU,1563128325,64,56.04,51.4,68.0,6.71
135,Anadyr,40,RU,1563128325,87,64.73,177.51,57.2,13.42
136,Poum,40,MK,1563128325,43,41.28,20.71,69.8,5.82
137,Laguna,40,BZ,1563128326,74,16.17,-88.94,87.8,4.7
138,Kaeo,0,NZ,1563128326,95,-35.1,173.78,44.01,3.0
139,Villa de Reyes,40,MX,1563128326,25,21.8,-100.93,77.0,8.43
140,Ayni,30,TJ,1563128326,50,39.39,68.54,60.09,3.18
141,Vostok,100,RU,1563128049,83,46.45,135.83,59.55,3.6
142,Tuatapere,91,NZ,1563128327,67,-46.13,167.69,46.95,22.01
143,Ahipara,13,NZ,1563128327,66,-35.17,173.16,58.29,20.07
144,Norman Wells,75,CA,1563128327,87,65.28,-126.83,57.2,4.03
145,Huanren,44,CN,1563128328,94,41.26,125.37,59.55,0.98
146,Shimoda,100,JP,1563128328,96,34.7,138.93,71.01,3.0
147,Dong Hoi,100,VN,1563128329,77,17.48,106.6,79.89,3.71
148,Jamestown,71,AU,1563128329,86,-33.21,138.6,47.13,9.73
149,Acari,76,BR,1563128329,39,-6.44,-36.64,89.61,8.77
150,Rio Grande,40,BR,1563128329,59,-32.03,-52.1,60.8,2.24
151,Bubaque,98,GW,1563128329,77,11.28,-15.83,80.07,7.47
152,Audru,100,EE,1563128330,60,58.41,24.36,61.0,10.0
153,Itapirapua,0,BR,1563128330,22,-15.82,-50.61,92.31,2.19
154,Karratha,0,AU,1563128052,25,-20.74,116.85,64.95,15.97
155,Severo-Kurilsk,59,RU,1563128330,93,50.68,156.12,43.71,10.45
156,Kinablangan,100,PH,1563128330,84,7.69,126.55,71.97,2.93
157,Taoudenni,54,ML,1563128330,13,22.68,-3.98,108.51,12.15
158,Cabacao,98,PH,1563128331,82,13.34,120.66,78.45,7.31
159,Mae Sot,100,MM,1563128331,99,16.71,98.57,71.61,1.92
160,Magistralnyy,100,RU,1563128331,70,56.17,107.45,58.29,3.29
161,Morondava,0,MG,1563128331,65,-20.3,44.28,75.39,14.85
162,Kijang,40,KR,1563128331,78,35.24,129.21,73.4,3.36
163,Proletariy,29,RU,1563128332,82,58.43,31.7,55.41,1.77
164,Arraial do Cabo,0,BR,1563128332,54,-22.97,-42.02,84.2,4.7
165,Tecoanapa,75,MX,1563128332,74,16.99,-99.26,84.2,4.7
166,Guerrero Negro,0,MX,1563128332,86,27.97,-114.04,68.01,7.2
167,Sfantu Gheorghe,84,RO,1563128332,100,44.65,26.83,66.99,6.93
168,Camocim,27,BR,1563128333,49,-2.9,-40.84,89.25,8.08
169,Udachnyy,75,RU,1563128333,76,66.42,112.4,57.2,6.71
170,Meulaboh,98,ID,1563128066,70,4.14,96.13,83.13,6.13
171,Kalabagh,10,PK,1563128333,81,34.07,73.37,81.0,4.0
172,Vera Cruz,20,BR,1563128334,69,-12.96,-38.61,80.6,10.29
173,Voi,75,KE,1563128334,83,-3.4,38.57,66.75,10.07
174,Mahebourg,20,MU,1563128336,72,-20.41,57.7,66.2,6.93
175,Novoanninskiy,79,RU,1563128337,83,50.53,42.67,64.99,1.01
176,Balkanabat,11,TM,1563128337,45,39.51,54.36,84.21,16.08
177,Upernavik,2,GL,1563128338,88,72.79,-56.15,44.61,4.07
178,Te Anau,76,NZ,1563128338,72,-45.41,167.72,38.31,5.86
179,Gamba,86,CN,1563128338,68,28.28,88.52,43.35,5.99
180,Caranavi,64,BO,1563128339,72,-15.83,-67.57,60.99,2.39
181,Bonthe,56,SL,1563128063,80,7.53,-12.5,77.91,11.81
182,Fuerte,87,PH,1563128339,68,17.54,120.36,84.21,2.89
183,Marfino,0,RU,1563128340,63,56.07,37.56,62.6,6.71
184,Beshpagir,0,RU,1563128341,56,45.02,42.37,68.0,6.71
185,Kruisfontein,12,ZA,1563128341,93,-34.0,24.73,51.81,6.49
186,Creston,1,CA,1563128342,38,49.1,-116.52,78.01,4.7
187,Port Hardy,90,CA,1563128342,93,50.7,-127.42,57.2,3.36
188,Pinheiro Machado,100,BR,1563128342,68,-31.58,-53.38,54.51,6.38
189,Srostki,0,RU,1563128343,68,52.42,85.7,67.29,11.9
190,Puerto Narino,75,CO,1563128344,79,-3.77,-70.38,84.2,4.7
191,Katsuura,75,JP,1563128045,94,33.93,134.5,73.4,8.05
192,Saint-Joseph,13,FR,1563128345,44,43.56,6.97,82.4,3.36
193,Turukhansk,29,RU,1563128345,80,65.8,87.96,57.03,6.58
194,Banos,0,FR,1563128345,37,43.74,-0.62,82.4,4.7
195,Puerto del Rosario,20,ES,1563128346,61,28.5,-13.86,78.8,21.92
196,Isangel,99,VU,1563128346,76,-19.55,169.27,74.49,9.15
197,Saint George,40,GR,1563128347,57,39.45,22.34,78.8,10.29
198,Henties Bay,0,NA,1563128347,94,-22.12,14.28,54.0,9.4
199,Bambanglipuro,1,ID,1563128347,80,-7.95,110.28,73.95,14.38
200,Puerto Ayora,20,EC,1563128347,61,-0.74,-90.35,78.8,19.46
201,Meiganga,100,CM,1563128348,97,6.52,14.29,66.21,3.47
202,Garmsar,53,IR,1563128348,20,35.22,52.34,87.63,13.0
203,Yellowknife,20,CA,1563128348,39,62.45,-114.38,66.2,8.05
204,Arrifes,40,PT,1563128228,69,37.77,-25.7,75.2,6.93
205,Hofn,90,IS,1563128348,93,64.25,-15.21,53.6,5.82
206,Caborca,49,MX,1563128349,54,30.58,-111.1,90.0,1.01
207,Port Elizabeth,1,US,1563128349,58,39.31,-74.98,93.99,6.93
208,Warman,40,CA,1563128349,64,52.32,-106.58,73.4,2.24
209,Montrose,40,GB,1563128349,77,56.71,-2.47,64.0,11.41
210,Mwingi,80,KE,1563128349,68,-0.93,38.07,67.83,9.64
211,Changji,0,CN,1563128350,84,32.07,116.17,71.79,5.97
212,Luderitz,0,NA,1563128350,93,-26.65,15.16,51.8,11.41
213,Pochutla,40,MX,1563128350,62,15.74,-96.47,90.0,3.53
214,Oktyabrskoye,0,RU,1563128350,77,56.73,85.44,64.0,4.47
215,Belaya Gora,100,RU,1563128351,84,68.54,146.19,51.63,11.7
216,Mayo,20,CA,1563128351,52,63.59,-135.9,69.8,8.05
217,Falun,99,SE,1563128351,87,60.61,15.63,61.0,2.24
218,Torbay,90,CA,1563128080,100,47.66,-52.73,57.99,11.41
219,Tucupita,36,VE,1563128351,57,9.06,-62.05,86.73,6.85
220,Hasaki,75,JP,1563128352,94,35.73,140.83,68.0,8.05
221,Fortuna,90,US,1563128352,93,40.6,-124.16,75.99,16.11
222,Collie,14,AU,1563128352,63,-33.36,116.15,46.0,5.53
223,Sitka,17,US,1563128352,49,37.17,-99.65,86.0,1.99
224,Tommot,0,RU,1563128352,93,58.97,126.27,59.01,0.54
225,Hobyo,7,SO,1563128353,76,5.35,48.53,78.27,22.82
226,San Quintin,89,PH,1563128353,93,17.54,120.52,74.85,3.58
227,Suntar,26,RU,1563128353,97,62.16,117.65,61.35,4.61
228,Morgan City,90,US,1563128353,79,29.7,-91.21,84.2,13.87
229,Geraldton,90,CA,1563128353,50,49.72,-86.95,75.2,10.29
230,Bismarck,1,US,1563128101,69,46.81,-100.78,84.99,4.7
231,Cabedelo,75,BR,1563128354,78,-6.97,-34.84,80.6,14.99
232,Ordu,40,TR,1563128354,69,40.98,37.88,75.2,11.41
233,Acajutla,0,SV,1563128354,66,13.59,-89.83,83.67,6.35
234,Timra,0,SE,1563128354,67,62.49,17.33,64.0,9.17
235,Progreso,20,UY,1563128355,66,-34.68,-56.22,53.6,4.7
236,Ambovombe,73,MG,1563128355,80,-25.18,46.09,69.63,27.51
237,Narsaq,75,GL,1563128355,39,60.91,-46.05,66.2,8.05
238,Forbes,87,AU,1563128355,94,-33.38,148.01,46.99,1.99
239,Phultala,100,BD,1563128356,87,22.7,89.52,82.23,11.48
240,Berlevag,75,NO,1563128356,81,70.86,29.09,48.2,11.41
241,Aksarka,54,RU,1563128356,83,66.56,67.8,64.41,4.21
242,Itatskiy,0,RU,1563128356,82,56.07,89.04,56.85,5.44
243,Port Keats,31,AU,1563128357,40,-14.25,129.55,64.59,17.96
244,Santa Rosa,100,AR,1563128357,52,-36.62,-64.29,59.37,6.78
245,Gummidipundi,75,IN,1563128357,74,13.42,80.13,89.6,12.75
246,Tome,70,JP,1563128357,95,38.69,141.2,62.07,2.01
247,Smithers,75,CA,1563128358,68,54.78,-127.17,64.4,6.93
248,Vestmannaeyjar,90,IS,1563128358,100,63.44,-20.27,53.6,18.34
249,Makinsk,10,KZ,1563128358,55,52.63,70.42,67.47,6.82
250,Locri,75,IT,1563128358,83,38.24,16.26,80.6,9.17
251,Aseri,99,EE,1563128358,71,59.45,26.87,55.05,3.98
252,Atakpame,47,TG,1563128359,87,7.53,1.13,75.57,2.06
253,Timbuktu,46,ML,1563128359,30,16.77,-3.01,98.25,7.11
254,Swellendam,26,ZA,1563128359,87,-34.02,20.44,50.0,8.05
255,Koumac,54,NC,1563128359,83,-20.56,164.28,71.25,17.34
256,Staryy Nadym,82,RU,1563128359,65,65.61,72.68,72.69,8.21
257,Kabare,75,RW,1563128360,68,-1.65,29.38,69.8,6.93
258,Agadez,20,NE,1563128360,22,16.97,7.99,104.0,16.11
259,Alofi,12,NU,1563128360,77,-19.06,-169.92,69.8,2.24
260,Amapa,40,HN,1563128360,49,15.09,-87.97,93.2,10.29
261,Lake Charles,75,US,1563128360,70,30.23,-93.22,86.0,10.29
262,Fairbanks,1,US,1563128171,77,64.84,-147.72,68.0,3.36
263,Manavalakurichi,40,IN,1563128361,83,8.13,77.3,80.6,5.82
264,Hazorasp,0,UZ,1563128361,48,41.32,61.08,86.0,2.24
265,Bud,75,NO,1563128361,76,62.91,6.91,57.2,6.93
266,Le Port,40,FR,1563128362,64,42.87,1.37,79.0,5.82
267,Ekhabi,84,RU,1563128362,96,53.51,142.97,50.55,10.96
268,Bhalki,100,IN,1563128362,77,18.04,77.21,77.91,11.18
269,Yashkul,2,RU,1563128362,48,46.17,45.34,72.51,3.58
270,Mount Gambier,95,AU,1563128062,75,-37.83,140.78,54.15,26.73
271,Dingle,99,PH,1563128363,90,11.0,122.67,73.23,4.25
272,Corumba,0,BR,1563128363,43,-19.0,-57.65,87.8,5.82
273,Motygino,18,RU,1563128363,70,58.18,94.69,58.11,7.99
274,Port-Gentil,40,GA,1563128363,88,-0.72,8.78,77.0,10.29
275,Provideniya,89,RU,1563128363,81,64.42,-173.23,52.35,5.03
276,Cooma,90,AU,1563128363,96,-36.24,149.13,41.0,21.92
277,Huangmei,66,CN,1563128364,95,30.1,115.95,71.79,5.68
278,Leningradskiy,100,RU,1563128364,95,69.38,178.42,35.07,3.33
279,Pouembout,90,NC,1563128364,84,-21.12,164.9,69.63,14.67
280,Taywarah,0,AF,1563128364,17,33.35,64.42,63.69,6.58
281,Mayumba,80,GA,1563128364,90,-3.44,10.65,71.79,5.39
282,Acapulco,75,MX,1563128365,74,16.86,-99.88,84.2,4.7
283,Pimenta Bueno,0,BR,1563128365,29,-11.68,-61.19,95.73,4.14
284,Krasnovishersk,100,RU,1563128365,98,60.4,57.08,58.47,4.45
285,Lexington,40,US,1563128122,62,38.05,-84.5,91.0,9.17
286,Faanui,98,PF,1563128365,76,-16.48,-151.75,79.53,11.12
287,Litovko,68,RU,1563128366,90,49.24,135.18,61.89,3.62
288,Aykhal,75,RU,1563128366,76,65.95,111.51,57.2,6.71
289,Ylojarvi,0,FI,1563128366,45,61.56,23.6,64.4,3.36
290,Eyl,84,SO,1563128367,55,7.98,49.82,82.05,17.69
291,Dunedin,43,NZ,1563128367,81,-45.87,170.5,39.99,4.0
292,Mahon,20,IE,1563128367,72,51.89,-8.4,66.2,10.29
293,Margate,75,AU,1563128367,61,-43.03,147.26,48.2,20.8
294,Tsaratanana,24,MG,1563128367,72,-16.8,47.65,58.29,12.88
295,Yamada,75,JP,1563128367,94,36.58,137.08,71.01,5.82
296,Codrington,0,AU,1563128368,74,-28.95,153.24,50.0,16.11
297,Kathu,0,ZA,1563128346,38,-27.7,23.05,52.0,6.15
298,Afogados da Ingazeira,63,BR,1563128368,48,-7.75,-37.64,82.59,7.2
299,Suez,0,EG,1563128368,51,29.97,32.54,80.07,17.54
300,Yinchuan,98,CN,1563128368,39,38.48,106.21,73.99,5.01
301,Dwarka,75,IN,1563128369,55,28.58,77.04,95.0,10.29
302,Targusor,40,RO,1563128369,64,44.45,28.42,69.8,6.93
303,Alice Springs,0,AU,1563128369,69,-23.7,133.88,35.6,13.06
304,Arlit,4,NE,1563128369,10,18.74,7.39,105.09,7.14
305,Yokadouma,100,CM,1563128369,99,3.52,15.05,67.47,1.28
306,Navalmoral de la Mata,21,ES,1563128370,32,39.89,-5.54,93.0,7.99
307,Rani,1,IN,1563128370,65,25.35,73.31,85.65,21.88
308,Mount Isa,19,AU,1563128370,30,-20.73,139.49,53.6,14.99
309,Badarpur,100,IN,1563128370,96,24.87,92.56,74.85,3.15
310,Mongu,0,ZM,1563128120,19,-15.27,23.14,62.97,4.79
311,Waipawa,17,NZ,1563128370,87,-39.94,176.59,46.0,7.0
312,Nome,90,US,1563128371,74,30.04,-94.42,91.0,6.93
313,Araouane,41,ML,1563128371,24,18.9,-3.53,101.13,7.63
314,Sale,89,AU,1563128338,89,-38.11,147.06,46.99,12.73
315,Matay,0,EG,1563128371,16,28.42,30.79,89.61,10.63
316,Camara de Lobos,40,PT,1563128371,69,32.63,-16.97,75.2,13.87
317,Touros,75,BR,1563128079,83,-5.2,-35.46,80.6,13.87
318,Viedma,100,AR,1563128372,36,-40.81,-62.99,56.85,14.72
319,Bonavista,95,CA,1563128372,82,48.65,-53.11,52.0,5.01
320,Cascais,20,PT,1563128372,68,38.7,-9.42,77.0,11.41
321,Nisia Floresta,75,BR,1563128372,69,-6.09,-35.21,82.4,16.11
322,Cheremukhovo,52,RU,1563128373,89,56.23,46.23,57.93,3.44
323,Flin Flon,75,CA,1563128373,64,54.77,-101.88,69.8,3.36
324,Dhandhuka,97,IN,1563128373,64,22.38,71.98,84.39,20.83
325,Coloncito,40,VE,1563128373,41,8.33,-72.09,91.4,21.92
326,Hun,86,BE,1563128373,72,50.34,4.87,64.4,10.29
327,Barber,5,US,1563128373,32,39.71,-121.84,84.99,4.7
328,Constitucion,5,MX,1563128374,53,23.99,-104.67,77.0,4.7
329,Dhidhdhoo,100,MV,1563128374,72,6.88,73.1,83.49,10.38
330,Kedougou,40,SN,1563128374,52,12.56,-12.19,91.4,6.93
331,Talnakh,0,RU,1563128374,82,69.49,88.39,59.0,6.71
332,Luena,0,AO,1563128375,25,-11.78,19.91,62.97,3.22
333,Rehoboth,0,NA,1563128375,40,-23.31,17.08,52.53,4.65
334,Alyangula,49,AU,1563128375,72,-13.85,136.42,64.4,3.36
335,Banda Aceh,99,ID,1563128375,72,5.56,95.32,83.13,12.03
336,Tasiilaq,75,GL,1563128375,75,65.61,-37.64,44.6,6.93
337,Kahului,20,US,1563128376,57,20.89,-156.47,80.6,11.41
338,Lasa,75,CY,1563128376,74,34.92,32.53,78.8,11.41
339,Kavieng,100,PG,1563128376,84,-2.57,150.8,79.17,11.68
340,Caravelas,0,BR,1563128376,70,-17.73,-39.27,75.93,9.91
341,Havre-Saint-Pierre,90,CA,1563128376,100,50.23,-63.6,55.4,13.87
342,Espanola,15,CA,1563128377,50,46.27,-81.77,75.99,5.01
343,Havoysund,75,NO,1563128377,66,71.0,24.66,48.2,11.41
344,La Libertad,0,PE,1563128377,11,-16.38,-71.56,68.0,4.7
345,Urman,71,UA,1563128377,88,49.57,24.95,58.47,4.45
346,Conceicao do Araguaia,37,BR,1563128327,28,-8.26,-49.26,94.47,2.33
347,Ibotirama,0,BR,1563128377,19,-12.18,-43.22,93.03,1.74
348,Buritizeiro,0,BR,1563128378,19,-17.37,-44.96,86.55,2.26
349,Kavaratti,100,IN,1563128378,74,10.57,72.64,83.31,14.52
350,Saucillo,0,MX,1563128378,29,28.03,-105.29,87.63,4.68
351,Azul,60,AR,1563128316,63,-36.78,-59.86,55.0,6.71
352,Nizhyn,100,UA,1563128378,78,51.05,31.88,62.79,3.94
353,Chulman,91,RU,1563128378,96,56.84,124.9,55.23,1.41
354,Lagoa,0,PT,1563128379,73,37.14,-8.45,84.99,21.92
355,Altagracia de Orituco,8,VE,1563128379,44,9.86,-66.38,84.57,6.49
356,Liverpool,20,GB,1563128092,68,53.41,-2.98,72.0,6.93
357,Coquimbo,0,CL,1563128379,54,-29.95,-71.34,71.01,11.41
358,Tocopilla,76,CL,1563128379,83,-22.09,-70.2,57.93,9.28
359,Gweta,0,BW,1563128380,21,-20.21,25.26,64.41,6.55
360,Gewane,58,ET,1563128380,36,10.16,40.66,88.89,13.73
361,Ust-Nera,97,RU,1563128380,68,64.57,143.24,60.09,4.56
362,Hirara,0,JP,1563128380,82,24.8,125.28,83.49,9.13
363,Bojnurd,75,IR,1563128380,65,37.47,57.33,77.0,11.41
364,Sibolga,99,ID,1563128381,72,1.74,98.78,83.49,5.32
365,Cabo San Lucas,20,MX,1563128229,38,22.89,-109.91,93.2,5.82
366,Aklavik,75,CA,1563128381,64,68.22,-135.01,69.8,5.82
367,Cam Ranh,20,VN,1563128381,70,11.92,109.15,86.0,6.93
368,Candolim,90,IN,1563128381,94,15.52,73.76,78.8,4.7
369,Carutapera,100,BR,1563128382,70,-1.2,-46.02,82.95,9.78
370,Luanda,0,AO,1563128382,83,-8.83,13.24,73.4,10.29
371,Faya,20,SA,1563128382,56,18.39,42.45,80.6,9.17
372,Bonnyville,75,CA,1563128382,68,54.27,-110.74,71.6,3.36
373,Kieta,69,PG,1563128382,83,-6.22,155.63,77.91,3.87
